date,½µÓê¾ùÖµ,Õô·¢,flow
2005/4/3,0,3.3,41.1
2005/4/4,0,3.1,46.6
2005/4/5,0.87,2.7,39.9
2005/4/6,3.42,0.4,48.7
2005/4/7,0,2.1,38.7
2005/4/8,0,2.9,33.8
2005/4/9,6.55,2.1,32.3
2005/4/10,30.97,3.4,44.8
2005/4/11,11.18,1.3,108
2005/4/12,5.35,1.6,99.6
2005/4/13,0,2.4,76.9
2005/4/14,0,3.3,55.6
2005/4/15,0,3.1,41.6
2005/4/16,0.17,1.2,38.9
2005/4/17,0,2.5,39.4
2005/4/18,0,1.3,38.1
2005/4/19,12.75,1.4,35
2005/4/20,0,4.4,43
2005/4/21,0,3.8,35
2005/4/22,60.8,4.8,34.6
2005/4/23,0.25,2.2,217
2005/4/24,2.67,0.9,105
2005/4/25,0,2.5,74.3
2005/4/26,0,4.9,55.7
2005/4/27,0,3.9,44.7
2005/4/28,0,2.6,45.6
2005/4/29,3.92,2.2,48.8
2005/4/30,8.7,2.3,49.3
2005/5/1,8.33,2.9,47.6
2005/5/2,1.73,1.7,45.9
2005/5/3,2.65,3.1,42.8
2005/5/4,12.73,1.6,41.1
2005/5/5,38.43,2.5,84.7
2005/5/6,1.77,2.3,234
2005/5/7,6.12,1.8,127
2005/5/8,22.07,0.4,114
2005/5/9,45.35,1,209
2005/5/10,0,1.8,475
2005/5/11,7.22,1.6,173
2005/5/12,29.5,1.2,119
2005/5/13,44.5,1.1,451
2005/5/14,15.43,2.3,450
2005/5/15,1.65,1.7,234
2005/5/16,2.18,1.5,143
2005/5/17,5.88,1.9,99.7
2005/5/18,24.67,1.7,91.2
2005/5/19,26.68,1.7,156
2005/5/20,7.1,2,189
2005/5/21,31.1,1.1,201
2005/5/22,21.6,0.6,337
2005/5/23,32.37,2.1,340
2005/5/24,2.7,2.3,312
2005/5/25,0.08,1.8,166
2005/5/26,14.83,0.9,117
2005/5/27,0.55,1.2,129
2005/5/28,0,4.9,106
2005/5/29,0,5,80.8
2005/5/30,0.42,4.3,69.6
2005/5/31,0.67,1.8,64.9
2005/6/1,24.07,1.6,68.3
2005/6/2,1.57,1.8,110
2005/6/3,0,4.5,70.5
2005/6/4,0,5,56.1
2005/6/5,0,4.8,41
2005/6/6,0,5.2,35.5
2005/6/7,0,5.3,34.4
2005/6/8,0,3.2,31.8
2005/6/9,0,3.9,33.3
2005/6/10,0,4.3,29.1
2005/6/11,7.9,3.3,28.4
2005/6/12,43.88,2.7,105
2005/6/13,0.08,2.3,97
2005/6/14,3.6,1.3,58.8
2005/6/15,0,5.6,62.1
2005/6/16,0,6.9,44.7
2005/6/17,26.05,4.7,27.4
2005/6/18,117.63,0.5,164
2005/6/19,64.3,0.6,989
2005/6/20,104.5,0.4,1450
2005/6/21,82.75,1.3,971
2005/6/22,52.6,0.4,1550
2005/6/23,7.55,2.5,582
2005/6/24,11.45,1.4,267
2005/6/25,1.07,1.5,215
2005/6/26,0.3,2.5,163
2005/6/27,0,4.2,121
2005/6/28,0.07,4.4,97.6
2005/6/29,7.18,2.7,89.9
2005/6/30,0.08,4.2,96.1
2005/7/1,0,4.4,69.4
2005/7/2,0,4.9,62.8
2005/7/3,0,5.6,56.1
2005/7/4,0,4.8,52
2005/7/5,0,5.6,37.5
2005/7/6,0,5.3,40.4
2005/7/7,2.58,4.5,38.2
2005/7/8,0,4.8,41.4
2005/7/9,0,4.8,37.8
2005/7/10,0,5.2,33.8
2005/7/11,0,5,32.5
2005/7/12,4.55,5.4,30.4
2005/7/13,1.68,5.3,30.3
2005/7/14,0,5.3,24.6
2005/7/15,1.28,6.2,20.9
2005/7/16,0,6.3,26.7
2005/7/17,0,6.5,26.6
2005/7/18,2.37,5,25.7
2005/7/19,8.37,2.7,28.5
2005/7/20,8.42,0.6,36.6
2005/7/21,15.8,1,45.8
2005/7/22,0.37,1.6,51.5
2005/7/23,0,3,40.2
2005/7/24,0.73,4.8,29.8
2005/7/25,0.68,5.8,29.2
2005/7/26,2.88,4.9,28.1
2005/7/27,0.08,5.3,33.4
2005/7/28,0,5.3,24.8
2005/7/29,0,5.7,23.6
2005/7/30,1.85,5.6,21.6
2005/7/31,0,5.6,18.9
2005/8/1,0,5.9,16.1
2005/8/2,0,6,20.8
2005/8/3,0,6.2,18.9
2005/8/4,0,4.2,7.15
2005/8/5,15.77,1,13.4
2005/8/6,5.95,1.7,35
2005/8/7,4.85,2.5,51.7
2005/8/8,0.78,3.7,45.4
2005/8/9,0.18,4.6,38.2
2005/8/10,0,5.9,25.7
2005/8/11,0,6.3,22.9
2005/8/12,2.22,5.9,21.4
2005/8/13,2.18,2.6,20.2
2005/8/14,0,4.1,22.7
2005/8/15,0,4.1,19.9
2005/8/16,0.1,5.8,14.6
2005/8/17,2.45,5.1,11.3
2005/8/18,0,4.1,16.6
2005/8/19,5.77,3.9,20
2005/8/20,15.02,2.7,24.2
2005/8/21,5.28,2.3,29.5
2005/8/22,0.25,2.6,29.9
2005/8/23,6.3,3.7,29.2
2005/8/24,0.35,3.3,27.4
2005/8/25,0,3.3,31.2
2005/8/26,3.9,2.7,24.9
2005/8/27,1.72,3,40.4
2005/8/28,0.17,4.3,24.2
2005/8/29,0.58,4.1,23.3
2005/8/30,0,4.1,21.2
2005/8/31,2.03,3.7,20.3
2005/9/1,42.8,2.8,35.1
2005/9/2,3.85,1.1,197
2005/9/3,0.17,2.6,55.3
2005/9/4,0,3.2,36.1
2005/9/5,0,3.3,28.5
2005/9/6,0,5.2,21.1
2005/9/7,0,4.5,9.48
2005/9/8,0,3.2,8.39
2005/9/9,1,2.9,7.89
2005/9/10,0,4.3,7.16
2005/9/11,0.07,2.9,12.2
2005/9/12,0,3.4,10.2
2005/9/13,4.68,4.1,7.53
2005/9/14,2.82,4.5,6.33
2005/9/15,0,5.1,5.38
2005/9/16,0,5.7,4.54
2005/9/17,0,5.9,4.32
2005/9/18,0,5.5,4.51
2005/9/19,0,5.2,4.38
2005/9/20,0,5.2,4.16
2005/9/21,0,5.3,3.23
2005/9/22,0,6.2,3.97
2005/9/23,0.15,3.2,6.16
2005/9/24,0,3,7.24
2005/9/25,0,2.9,7.19
2005/9/26,1.33,1.8,7.39
2005/9/27,0,3.9,7.44
2005/9/28,0,4.3,7.31
2005/9/29,0,4.4,7.29
2005/9/30,0,4.3,5.48
2005/10/1,0,5.1,5.67
2005/10/2,19.47,3.9,5.47
2005/10/3,0.48,2,11.3
2005/10/4,0.27,4.5,14.7
2005/10/5,3.63,3.5,13.7
2005/10/6,0,2.8,13.1
2005/10/7,0.08,5.1,9.19
2005/10/8,0,5.5,8.06
2005/10/9,0.08,4.7,6.27
2005/10/10,0,3.5,6.72
2005/10/11,0,4.1,12.5
2005/10/12,0,3.9,9.33
2005/10/13,0,3.4,7.7
2005/10/14,0,4.5,7.43
2005/10/15,0,2.5,6.06
2005/10/16,0,2.7,7.62
2005/10/17,0,3.9,7.06
2005/10/18,0,4.9,6.57
2005/10/19,0,4.1,7.72
2005/10/20,0,3.2,6.98
2005/10/21,0.28,3.9,7.22
2005/10/22,0.08,3.6,6.66
2005/10/23,0.08,2.5,7.37
2005/10/24,0,2.9,5.4
2005/10/25,2.52,1.1,7.73
2005/10/26,0,2.1,8.55
2005/10/27,0,2.3,8.46
2005/10/28,8.72,2.7,6.91
2005/10/29,1.08,2.1,9.9
2005/10/30,0,2.6,11.6
2005/10/31,0.08,3.1,11.3
2005/11/1,0,2.3,5.72
2005/11/2,0.25,1.7,4.94
2005/11/3,0.72,0.8,6.42
2005/11/4,0.25,1.7,7.35
2005/11/5,0,1.9,9.24
2005/11/6,2.05,1.1,6.87
2005/11/7,0,1.1,7.66
2005/11/8,11.57,1.6,9.47
2005/11/9,32.62,1.6,22.9
2005/11/10,0.73,1.4,56.9
2005/11/11,5.67,1.3,28.7
2005/11/12,0.02,1,22.3
2005/11/13,3.67,1.9,17.2
2005/11/14,3.63,3.1,13.5
2005/11/15,2.08,2.9,17.6
2005/11/16,0,2.4,13
2005/11/17,1.2,1.8,12.6
2005/11/18,0.1,1.5,10.9
2005/11/19,0,2,10
2005/11/20,0,2.1,10.1
2005/11/21,0,2.3,11.5
2005/11/22,0,1.9,18.1
2005/11/23,0,1.9,9.49
2005/11/24,0,2.1,7.7
2005/11/25,0,1.3,4.29
2005/11/26,0,2,3.53
2005/11/27,0,1.8,3.44
2005/11/28,0.28,1.7,6.91
2005/11/29,0.07,1.5,10
2005/11/30,0.17,1.1,9.94
2005/12/1,1.2,0.8,12.8
2005/12/2,8.93,1.4,11.7
2005/12/3,8.2,1.1,8.7
2005/12/4,0,3.5,19.1
2005/12/5,0,3.1,12.7
2005/12/6,0,2.4,10.6
2005/12/7,0,2,8.26
2005/12/8,0,1.4,6.74
2005/12/9,4.33,0.7,7.06
2005/12/10,3.25,0.7,7.76
2005/12/11,0,2.2,16
2005/12/12,0,2.1,14.1
2005/12/13,0.08,2,12
2005/12/14,0,2.2,11.7
2005/12/15,0,2.1,14.4
2005/12/16,0,1.7,14.6
2005/12/17,0,2.3,6.5
2005/12/18,0,2,13
2005/12/19,0,1.5,13
2005/12/20,0,1,11.7
2005/12/21,0,2.6,11.9
2005/12/22,0,2.2,11.4
2005/12/23,0,1.3,10.9
2005/12/24,0,0.5,8.09
2005/12/25,0,0.9,10.2
2005/12/26,0,0.5,12.8
2005/12/27,2.93,0.3,10.3
2005/12/28,5.05,0.4,11.3
2005/12/29,0,0.7,9.73
2005/12/30,5.33,1.1,11.2
2005/12/31,0.08,1,7.6
2006/1/1,0.08,1.3,8
2006/1/2,0,1.1,8.66
2006/1/3,0.17,0.6,7.82
2006/1/4,8.4,1.1,7.14
2006/1/5,0.47,2,8.74
2006/1/6,0,1.8,8.46
2006/1/7,0,1.6,9.07
2006/1/8,0,1.6,7.76
2006/1/9,0,1.6,8.09
2006/1/10,0,1.2,7.88
2006/1/11,1.17,0.6,6.11
2006/1/12,0.33,0.7,6.82
2006/1/13,0,0.6,7.65
2006/1/14,0.43,1.2,5.69
2006/1/15,2.82,0.4,6.53
2006/1/16,0.08,0.6,6.58
2006/1/17,0,1.3,6.71
2006/1/18,0.58,1.5,6.58
2006/1/19,22.78,0.4,8.58
2006/1/20,1.78,1.1,14.5
2006/1/21,0.08,1.4,17.6
2006/1/22,0.4,1.4,18.4
2006/1/23,0.08,1.3,14.2
2006/1/24,0,1.1,12
2006/1/25,0,1,5.32
2006/1/26,0,0.7,7.78
2006/1/27,0,1.6,6.87
2006/1/28,0,1.3,6.43
2006/1/29,0,1.2,6.68
2006/1/30,0,1.2,5.87
2006/1/31,0,1.7,6.18
2006/2/1,0,1.2,5.97
2006/2/2,0.48,1.7,6.83
2006/2/3,2.93,1.1,5.51
2006/2/4,0,1.9,5.28
2006/2/5,2.05,1.1,5.59
2006/2/6,0.08,1.2,6.07
2006/2/7,0,1.9,6.76
2006/2/8,0.05,3.2,5.87
2006/2/9,0.63,1.2,4.62
2006/2/10,0,1,4.99
2006/2/11,0,1.3,5.38
2006/2/12,0,1,5.42
2006/2/13,0,1.5,4.87
2006/2/14,0,1,5.34
2006/2/15,14.85,0.4,5.01
2006/2/16,5.7,1.7,7.76
2006/2/17,4.68,1.8,15.9
2006/2/18,6.43,0.6,13.9
2006/2/19,0.27,0.4,16.2
2006/2/20,0.97,0.8,10.8
2006/2/21,1.77,0.8,9.23
2006/2/22,10.73,0.8,9.24
2006/2/23,8.62,0.7,15.4
2006/2/24,9.75,0.9,21
2006/2/25,10.58,0.3,32.9
2006/2/26,0.08,1.8,52.5
2006/2/27,6.42,1,38.3
2006/2/28,11.22,1.9,34.2
2006/3/1,0,1.8,45.3
2006/3/2,0,2.3,37.6
2006/3/3,0,2.1,24.1
2006/3/4,0.17,1.2,21.7
2006/3/5,15.7,0,17.3
2006/3/6,0.8,0.1,27.9
2006/3/7,6.75,0,34.5
2006/3/8,6.3,0.3,32.3
2006/3/9,0,1.6,33.7
2006/3/10,0,2,29.4
2006/3/11,19.78,1.6,22.4
2006/3/12,10.28,2.5,48.6
2006/3/13,0.97,1.5,62.5
2006/3/14,1.5,1.1,39.4
2006/3/15,9.68,0.4,29.8
2006/3/16,0.08,1.3,30
2006/3/17,0,0.9,33.6
2006/3/18,0,0.9,31.7
2006/3/19,3.25,0.5,25.4
2006/3/20,25.03,1,17.9
2006/3/21,7.08,0.1,61.8
2006/3/22,9.83,1.4,78.1
2006/3/23,1.32,1.1,69.8
2006/3/24,0,2,53.3
2006/3/25,1.05,1,37.6
2006/3/26,4.38,1.8,31.3
2006/3/27,1.42,0.7,26
2006/3/28,0,2.4,26.2
2006/3/29,0,2.7,23.8
2006/3/30,0,1.9,17.2
2006/3/31,13.97,0.2,19.2
2006/4/1,11.03,0.3,27.6
2006/4/2,0,0.9,49.5
2006/4/3,0.25,1.2,38.6
2006/4/4,1.18,1.4,29
2006/4/5,5.7,2.3,24.1
2006/4/6,6.53,1.6,26
2006/4/7,0,2,25.3
2006/4/8,5.65,2.1,22.1
2006/4/9,18.97,1.1,22.7
2006/4/10,12.37,1.7,52.6
2006/4/11,23,2,67.7
2006/4/12,27.12,0.9,120
2006/4/13,15.93,2.7,166
2006/4/14,16.23,1.6,192
2006/4/15,0,1.6,157
2006/4/16,0.08,3,93.1
2006/4/17,0,3.1,55.7
2006/4/18,0,2.3,39.9
2006/4/19,0,3.2,32.6
2006/4/20,2,3,29.1
2006/4/21,8.67,1.5,33.3
2006/4/22,3.42,0.2,31.5
2006/4/23,0.33,3,29.5
2006/4/24,8.58,1.9,21.9
2006/4/25,50.22,1.8,35
2006/4/26,0.08,0.7,194
2006/4/27,17.95,0.8,98.7
2006/4/28,0,1.7,110
2006/4/29,0,2.2,69.3
2006/4/30,0.08,1.9,52.6
2006/5/1,29.03,1.2,63.1
2006/5/2,0,1.8,108
2006/5/3,0,2.8,61.7
2006/5/4,0,3.8,49.7
2006/5/5,51.75,0.8,38.6
2006/5/6,27.53,0.5,405
2006/5/7,2.58,1.9,269
2006/5/8,0.17,1.9,115
2006/5/9,11.92,3.5,73
2006/5/10,8.57,2.3,93.9
2006/5/11,1.95,2.2,89.5
2006/5/12,5.02,3.3,72.9
2006/5/13,7.25,2.5,62.9
2006/5/14,0,3.8,53.7
2006/5/15,0.08,3.7,48.7
2006/5/16,25.45,0.4,44.1
2006/5/17,71.92,1.4,263
2006/5/18,9.25,0.8,468
2006/5/19,0.08,2.9,234
2006/5/20,0,2.8,118
2006/5/21,26.92,0.3,81.9
2006/5/22,40.12,0.5,375
2006/5/23,0,1.7,268
2006/5/24,1.55,3.6,121
2006/5/25,36.45,1.1,86.1
2006/5/26,34.73,1,301
2006/5/27,0,3.7,311
2006/5/28,2.03,2.4,132
2006/5/29,0.08,2.9,89.4
2006/5/30,18.25,0.7,66.2
2006/5/31,67.65,0.1,143
2006/6/1,3.67,1,639
2006/6/2,0,2.8,241
2006/6/3,27.38,1.2,125
2006/6/4,95.15,0.6,259
2006/6/5,115.68,0.7,1600
2006/6/6,75.43,0.2,1800
2006/6/7,61.38,1.1,1340
2006/6/8,0.17,0.5,817
2006/6/9,0,1,303
2006/6/10,3.47,3.9,193
2006/6/11,0,2.7,139
2006/6/12,1.68,4,107
2006/6/13,29.48,0.3,94.3
2006/6/14,51.37,0.9,353
2006/6/15,9.1,0.3,340
2006/6/16,45.75,0.8,173
2006/6/17,43.95,1.3,744
2006/6/18,0.58,2.6,328
2006/6/19,0.08,4.7,188
2006/6/20,0.92,5.3,123
2006/6/21,1.33,4.8,94
2006/6/22,0.25,4.4,87.8
2006/6/23,0,5.6,78.4
2006/6/24,3.6,4.9,61.5
2006/6/25,9.87,4.4,72.1
2006/6/26,1.08,3.9,80.3
2006/6/27,8.37,5,57
2006/6/28,4.05,3.7,53.3
2006/6/29,0.08,4.3,63.9
2006/6/30,0,5.6,51.1
2006/7/1,0,4.6,41.4
2006/7/2,0,4.9,40.3
2006/7/3,0,5.7,36.6
2006/7/4,0,6.2,32.9
2006/7/5,0.25,5.3,30.9
2006/7/6,2.52,3.1,31.7
2006/7/7,3.48,2.9,39.3
2006/7/8,0.2,2.4,40.4
2006/7/9,15.72,5.6,35.8
2006/7/10,2.08,3.6,37
2006/7/11,0.92,4.5,31.8
2006/7/12,0.83,5.9,26.3
2006/7/13,1.5,3.9,30.3
2006/7/14,21.62,1.5,46.2
2006/7/15,12.3,2.2,70.7
2006/7/16,4.17,1.3,74.3
2006/7/17,0,3.1,60.9
2006/7/18,0,2.8,39.4
2006/7/19,0,4.9,36.1
2006/7/20,0,3.7,27
2006/7/21,4.42,2.8,29.2
2006/7/22,0,4.8,25.1
2006/7/23,0,4.6,35.7
2006/7/24,6.68,5.4,30.3
2006/7/25,3.53,2.5,28.1
2006/7/26,0.92,2.4,21.9
2006/7/27,4.3,4.2,20.1
2006/7/28,9.98,4.6,23.4
2006/7/29,0,5.7,27
2006/7/30,0,5.5,26
2006/7/31,0,5.6,24.6
2006/8/1,0,6.3,10.2
2006/8/2,0,5.9,12.6
2006/8/3,3.42,6.4,17.2
2006/8/4,1.83,5.2,10.7
2006/8/5,2.5,5.9,11.5
2006/8/6,0,5.8,14.4
2006/8/7,5,5.1,17.2
2006/8/8,0,4.8,21.8
2006/8/9,0,4.4,23.7
2006/8/10,117.32,4.5,23.5
2006/8/11,11.53,2.2,704
2006/8/12,0,3.3,125
2006/8/13,0.5,4.5,54
2006/8/14,23.32,4.4,43.8
2006/8/15,15.27,4.6,77
2006/8/16,11.43,4.8,73.5
2006/8/17,4.47,3.5,87.1
2006/8/18,0,5.7,61.8
2006/8/19,0,4.7,46.7
2006/8/20,0.08,4.7,33.7
2006/8/21,0,4.9,31
2006/8/22,4.4,2.4,25.5
2006/8/23,0,2.8,24.7
2006/8/24,10.6,3.1,30.3
2006/8/25,1.17,3.7,33.9
2006/8/26,2.75,4.1,28.5
2006/8/27,0.58,4.3,23.5
2006/8/28,13.27,4.6,17.9
2006/8/29,0,4.2,28.3
2006/8/30,0,4.2,26.3
2006/8/31,0,4.6,21.7
2006/9/1,0,4.2,22.4
2006/9/2,2,4.5,23
2006/9/3,13.33,5.3,17.5
2006/9/4,0,4.4,17.7
2006/9/5,1.67,3.4,29.9
2006/9/6,0,4.3,29.4
2006/9/7,0.83,3.3,22.7
2006/9/8,1.55,3.4,24
2006/9/9,9.93,3.8,22.2
2006/9/10,0.95,3.8,24.8
2006/9/11,11.25,1.3,25.2
2006/9/12,10.38,1.3,29.3
2006/9/13,0.58,1.1,39.5
2006/9/14,0,3.3,30.7
2006/9/15,0,2.8,25
2006/9/16,0.17,2.7,23.2
2006/9/17,0,4.2,23.3
2006/9/18,0,4.3,22.6
2006/9/19,0,4.8,20.9
2006/9/20,0,3,13.9
2006/9/21,0,3.6,13.1
2006/9/22,0,4.3,10.4
2006/9/23,0,4.3,14.2
2006/9/24,0,4.4,9.15
2006/9/25,0,4.7,9.07
2006/9/26,0,4.2,14.3
2006/9/27,0,4,16.5
2006/9/28,0,4.1,13.4
2006/9/29,0,4.1,8.16
2006/9/30,0,4.4,9.33
2006/10/1,0.6,4.3,12.4
2006/10/2,0,3.4,10.5
2006/10/3,0,3,8.29
2006/10/4,0,4.8,9.06
2006/10/5,0,4.8,10.3
2006/10/6,0,3.8,9.06
2006/10/7,0,3.4,10.4
2006/10/8,0,2.5,11.2
2006/10/9,0,2.1,8.53
2006/10/10,0,3.3,8.72
2006/10/11,0,3.2,10.4
2006/10/12,0,3,7.75
2006/10/13,0,3.1,8.54
2006/10/14,0,2.9,13.2
2006/10/15,0,3.9,8.37
2006/10/16,0,3.8,9.71
2006/10/17,4.88,2.3,9.23
2006/10/18,0.58,1.3,8.35
2006/10/19,0,2.4,12.4
2006/10/20,1.42,2.4,16
2006/10/21,0,2.9,13.7
2006/10/22,0.08,2.6,13.5
2006/10/23,0.33,3,12.5
2006/10/24,0,2.8,9.27
2006/10/25,0,3.6,7.74
2006/10/26,0,3.1,7.24
2006/10/27,0,3.2,6.98
2006/10/28,0,2.4,9.12
2006/10/29,0,3.5,8.14
2006/10/30,0,2.9,8.55
2006/10/31,0,3.3,7.26
2006/11/1,0,2.8,8.03
2006/11/2,0,3.6,6.41
2006/11/3,0,3.4,7.15
2006/11/4,0,3.1,9.58
2006/11/5,0,2.3,10.5
2006/11/6,0,3.3,9.02
2006/11/7,0,3.9,12.6
2006/11/8,0,3,11.2
2006/11/9,0,2.1,11.1
2006/11/10,0,1.9,10.8
2006/11/11,0,4,8.78
2006/11/12,0,2.9,9.76
2006/11/13,0,2.5,9.8
2006/11/14,0,1.1,10.1
2006/11/15,0,1.4,8
2006/11/16,0,1.4,7.69
2006/11/17,25.58,3.1,7.98
2006/11/18,17.15,0.4,20.5
2006/11/19,1.68,1.8,28.7
2006/11/20,7.75,1.1,21.9
2006/11/21,18.52,0.3,23.2
2006/11/22,5.03,0.3,27.7
2006/11/23,0.33,1.8,30.1
2006/11/24,7.35,0.7,24.7
2006/11/25,12.07,0.5,21.2
2006/11/26,11.3,0.2,25.5
2006/11/27,0.58,1.8,44.3
2006/11/28,0.33,1.1,21.7
2006/11/29,6,0.7,22.1
2006/11/30,0.58,1.5,22.5
2006/12/1,0,1.5,18.1
2006/12/2,0,1.9,13.4
2006/12/3,0,2.3,11.4
2006/12/4,0,1.6,12.8
2006/12/5,0,1.2,9.27
2006/12/6,0,1.4,8.87
2006/12/7,0.08,0.5,9.41
2006/12/8,3.62,1.6,9.34
2006/12/9,1.58,2.1,11.4
2006/12/10,0.03,1.3,13.4
2006/12/11,0.05,1.2,9.5
2006/12/12,0,0.7,9.6
2006/12/13,23.62,0.2,12.5
2006/12/14,5.03,0.8,23.2
2006/12/15,0,1.5,30.5
2006/12/16,0,2.4,25.5
2006/12/17,0.17,2.1,19.3
2006/12/18,0,2,11.5
2006/12/19,0,1.7,12.1
2006/12/20,0.08,0.8,12.2
2006/12/21,0,2.1,15.5
2006/12/22,0,1.9,12.9
2006/12/23,0.07,1.8,9.62
2006/12/24,1,0.7,7.66
2006/12/25,0,0.6,12.2
2006/12/26,0.08,1.2,10.1
2006/12/27,0,1.3,10.1
2006/12/28,0,2.1,15.8
2006/12/29,0,2,15
2006/12/30,0,1.2,10
2006/12/31,0,0.9,5.73
2007/1/1,0,1,6.33
2007/1/2,8.43,0.4,9.64
2007/1/3,1.78,0.9,13
2007/1/4,0.25,1.6,12.6
2007/1/5,0,1,8.86
2007/1/6,0,2.3,8.04
2007/1/7,0,1.9,7.28
2007/1/8,0,1.8,7.71
2007/1/9,0,1.5,7.77
2007/1/10,0,1.4,7.77
2007/1/11,0,0.6,8.59
2007/1/12,0.2,1.1,11.3
2007/1/13,0.08,1.4,9.11
2007/1/14,0.08,0.8,5.06
2007/1/15,0,1.1,7.6
2007/1/16,0.08,1.2,7.57
2007/1/17,0,1.3,4.03
2007/1/18,0,1.3,3.55
2007/1/19,1.02,0.7,3.49
2007/1/20,32.95,0,4.75
2007/1/21,0.8,0.8,24.2
2007/1/22,4.67,0.6,27.4
2007/1/23,0.25,0.7,14.8
2007/1/24,0,1.6,14.9
2007/1/25,0.17,1.6,11.5
2007/1/26,0,1.4,13.8
2007/1/27,0,2,8.17
2007/1/28,0,1.7,11.5
2007/1/29,0,2,7.02
2007/1/30,0,1.6,10.8
2007/1/31,0,1.6,10.5
2007/2/1,0,2.5,9.66
2007/2/2,0,2,9.88
2007/2/3,0,1.8,7.31
2007/2/4,0,1.9,3.7
2007/2/5,0,1.5,9.39
2007/2/6,0,2.2,11.2
2007/2/7,0,1.7,10.4
2007/2/8,0.25,1.3,11.6
2007/2/9,1.37,1.7,8.1
2007/2/10,0,1,8.03
2007/2/11,0,2,11.6
2007/2/12,0.08,1,8.51
2007/2/13,6.08,1.5,10.3
2007/2/14,3.03,1.3,13.6
2007/2/15,29.33,1,8.58
2007/2/16,24.2,0.7,32.2
2007/2/17,7.65,0.3,87.6
2007/2/18,1.98,1,72.2
2007/2/19,0.67,0.5,46
2007/2/20,1.75,0.1,34.2
2007/2/21,2.42,0.6,30.3
2007/2/22,0.08,1.1,24.2
2007/2/23,0.08,2.6,22.9
2007/2/24,10.07,0.9,21.7
2007/2/25,0,2.4,22.6
2007/2/26,0,2.4,21.9
2007/2/27,0.17,1.5,20.7
2007/2/28,2.58,1.5,19.8
2007/3/1,0.5,0.1,15.7
2007/3/2,1.42,0.2,14.4
2007/3/3,0.75,1.4,13
